Алгоритм,Размер,ТипДанных,Время(мс),Кол-воСравнений
t_quicksort,2100,2,"0,8034",0
msd_radix,2100,2,"6,6788",0
msd_hybrid,2100,2,"2,2224",0
lcp_mergesort,2100,2,"4,4456",18406
quicksort,2200,0,"3,5416",31618
mergesort,2200,0,"5,1808",21632
t_quicksort,2200,0,"0,9782",0
msd_radix,2200,0,"7,1184",0
msd_hybrid,2200,0,"2,426",0
lcp_mergesort,2200,0,"5,0726",21632
quicksort,2200,1,"2,5502",22480
mergesort,2200,1,"4,579",11940
t_quicksort,2200,1,"0,6798",0
msd_radix,2200,1,"6,8746",0
msd_hybrid,2200,1,"2,2626",0
lcp_mergesort,2200,1,"4,5688",11940
quicksort,2200,2,"2,6584",22976
mergesort,2200,2,"4,7888",19366
t_quicksort,2200,2,"0,8088",0
msd_radix,2200,2,"7,0144",0
msd_hybrid,2200,2,"2,2314",0
lcp_mergesort,2200,2,"4,8474",19366
quicksort,2300,0,"3,7184",35429
mergesort,2300,0,"5,3866",22839
t_quicksort,2300,0,"1,0826",0
msd_radix,2300,0,"7,518",0
msd_hybrid,2300,0,"2,5458",0
lcp_mergesort,2300,0,"5,463",22839
quicksort,2300,1,"2,7012",23780
mergesort,2300,1,"4,7784",12512
t_quicksort,2300,1,"0,7662",0
msd_radix,2300,1,"7,2592",0
msd_hybrid,2300,1,"2,4112",0
lcp_mergesort,2300,1,"4,9592",12512
quicksort,2300,2,"2,7226",24106
mergesort,2300,2,"5,121",20930
t_quicksort,2300,2,"0,821",0
msd_radix,2300,2,"7,4802",0
msd_hybrid,2300,2,"2,3804",0
lcp_mergesort,2300,2,"5,0712",20930
quicksort,2400,0,"3,933",35120
mergesort,2400,0,"5,7314",23992
t_quicksort,2400,0,"1,1908",0
msd_radix,2400,0,"7,9428",0
msd_hybrid,2400,0,"2,6884",0
lcp_mergesort,2400,0,"5,6796",23992
quicksort,2400,1,"2,9692",25080
mergesort,2400,1,"5,0496",13040
t_quicksort,2400,1,"0,7708",0
msd_radix,2400,1,"7,706",0
msd_hybrid,2400,1,"2,4334",0
lcp_mergesort,2400,1,"5,0968",13040
quicksort,2400,2,"2,9642",25500
mergesort,2400,2,"5,337",21621
t_quicksort,2400,2,"0,868",0
msd_radix,2400,2,"7,7726",0
msd_hybrid,2400,2,"2,5068",0
lcp_mergesort,2400,2,"5,3136",21621
quicksort,2500,0,"4,05",37122
mergesort,2500,0,"5,9482",25145
t_quicksort,2500,0,"1,1794",0
msd_radix,2500,0,"8,2984",0
msd_hybrid,2500,0,"2,7748",0
lcp_mergesort,2500,0,"5,8672",25145
quicksort,2500,1,"3,0494",26380
mergesort,2500,1,"5,3498",13652
t_quicksort,2500,1,"0,8136",0
msd_radix,2500,1,"7,8776",0
msd_hybrid,2500,1,"2,4824",0
lcp_mergesort,2500,1,"5,317",13652
quicksort,2500,2,"3,1176",26710
mergesort,2500,2,"5,5556",22605
t_quicksort,2500,2,"0,9284",0
msd_radix,2500,2,"8,0762",0
msd_hybrid,2500,2,"2,5498",0
lcp_mergesort,2500,2,"5,5786",22605
quicksort,2600,0,"4,3246",40918
mergesort,2600,0,"6,1692",26301
t_quicksort,2600,0,"1,2714",0
msd_radix,2600,0,"8,6538",0
msd_hybrid,2600,0,"2,9282",0
lcp_mergesort,2600,0,"6,3126",26301
quicksort,2600,1,"3,265",27680
mergesort,2600,1,"5,6268",14260
t_quicksort,2600,1,"0,8458",0
msd_radix,2600,1,"8,3328",0
msd_hybrid,2600,1,"2,6904",0
lcp_mergesort,2600,1,"5,629",14260
quicksort,2600,2,"3,2944",27903
mergesort,2600,2,"5,82",24345
t_quicksort,2600,2,"0,9614",0
msd_radix,2600,2,"8,4558",0
msd_hybrid,2600,2,"2,5716",0
lcp_mergesort,2600,2,"5,7362",24345
quicksort,2700,0,"4,4022",40561
mergesort,2700,0,"6,4974",27449
t_quicksort,2700,0,"1,2656",0
msd_radix,2700,0,"9,0468",0
msd_hybrid,2700,0,"3,0312",0
lcp_mergesort,2700,0,"6,4404",27449
quicksort,2700,1,"3,5006",28980
mergesort,2700,1,"5,7658",14840
t_quicksort,2700,1,"0,8742",0
msd_radix,2700,1,"8,5712",0
msd_hybrid,2700,1,"2,8926",0
lcp_mergesort,2700,1,"5,722",14840
quicksort,2700,2,"3,403",29328
mergesort,2700,2,"6,1002",24884
t_quicksort,2700,2,"1,0064",0
msd_radix,2700,2,"8,7116",0
msd_hybrid,2700,2,"2,741",0
lcp_mergesort,2700,2,"6,0262",24884
quicksort,2800,0,"4,6588",41396
mergesort,2800,0,"6,7766",28601
t_quicksort,2800,0,"1,3068",0
msd_radix,2800,0,"9,4362",0
msd_hybrid,2800,0,"3,0478",0
lcp_mergesort,2800,0,"6,7188",28601
quicksort,2800,1,"3,6942",30280
mergesort,2800,1,"6,1246",15488
t_quicksort,2800,1,"0,8898",0
msd_radix,2800,1,"9,0568",0
msd_hybrid,2800,1,"2,7884",0
lcp_mergesort,2800,1,"5,978",15488
quicksort,2800,2,"3,6558",31622
mergesort,2800,2,"6,3514",26122
t_quicksort,2800,2,"1,046",0
msd_radix,2800,2,"9,4518",0
msd_hybrid,2800,2,"2,9548",0
lcp_mergesort,2800,2,"6,4506",26122
quicksort,2900,0,"4,7976",45304
mergesort,2900,0,"7,077",29767
t_quicksort,2900,0,"1,337",0
msd_radix,2900,0,"9,7288",0
msd_hybrid,2900,0,"3,1542",0
lcp_mergesort,2900,0,"7,0966",29767
quicksort,2900,1,"3,8308",31580
mergesort,2900,1,"6,2538",16120
t_quicksort,2900,1,"1,1142",0
msd_radix,2900,1,"9,5348",0
msd_hybrid,2900,1,"2,9148",0
lcp_mergesort,2900,1,"6,2796",16120
quicksort,2900,2,"3,7748",31823
mergesort,2900,2,"6,926",27712
t_quicksort,2900,2,"1,0504",0
msd_radix,2900,2,"9,568",0
msd_hybrid,2900,2,"3,0414",0
lcp_mergesort,2900,2,"6,7538",27712
quicksort,3000,0,"4,9614",47431
mergesort,3000,0,"7,3836",30954
t_quicksort,3000,0,"1,5312",0
msd_radix,3000,0,"10,2948",0
msd_hybrid,3000,0,"3,3174",0
lcp_mergesort,3000,0,"7,372",30954
quicksort,3000,1,"4,2498",32880
mergesort,3000,1,"6,7438",16828
t_quicksort,3000,1,"1,0192",0
msd_radix,3000,1,"10,256",0
msd_hybrid,3000,1,"3,0868",0
lcp_mergesort,3000,1,"6,5918",16828
quicksort,3000,2,"3,9538",33352
mergesort,3000,2,"7,1568",27871
t_quicksort,3000,2,"1,1242",0
msd_radix,3000,2,"10,1292",0
msd_hybrid,3000,2,"3,0676",0
lcp_mergesort,3000,2,"6,9574",27871
